assay,feature_ID,chrom,start_bp,end_bp,methyl_tile_id,region_stranded,tss_distance_5prime_bp,upstream_far_bp,straddles_TSS,cpg_island,overlaps_promoter_CpG_island,overlaps_genebody_CpG_island,in_promoter_window,training_significant,sig_tissues,tissues_assayed,region_manuscript,tss_distance_manuscript_strandnaive,note
METHYL,chr18-163049_cluster5,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster6,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster7,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster8,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster9,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster1,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster10,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster11,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster12,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster2,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster3,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster4,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster5,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster6,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster7,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster8,chr18,81525000,81525500,chr18-163050,gene_body,-13565,-14065,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
