assay,feature_ID,chrom,start,end,methyl_tile_id,tss_distance,region,tissues_assayed,training_significant,sig_tissues,timewise_logFC,direction,peak_timepoint,sex,training_p_value,training_q,note
METHYL,chr18-163047_cluster1,chr18,,,chr18-163047,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster2,chr18,,,chr18-163047,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster3,chr18,,,chr18-163047,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster4,chr18,,,chr18-163047,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster5,chr18,,,chr18-163047,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster6,chr18,,,chr18-163047,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster1,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster10,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster11,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster12,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster13,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster14,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster15,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster16,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster17,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster18,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster19,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster2,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster20,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster21,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster22,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster23,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster24,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster25,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster3,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster4,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster5,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster6,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster7,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster8,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster9,chr18,,,chr18-163049,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster1,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster10,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster11,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster12,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster2,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster3,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster4,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster5,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster6,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster7,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster8,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163050_cluster9,chr18,,,chr18-163050,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster1,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster10,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster11,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster12,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster13,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster2,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster3,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163051_cluster4,chr18,,,chr18-163051,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
